adj_edge_jaccard,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,node_recall,num_pred_nodes,reclaimed,safe_divs,stem,total_node_ratio,variant
0.9163819810511489,1,7,0,38,51,0.8919902912621359,735,44b6,0.9873096446700508,42628,149,158,44b6_12dfb391,-0.2734524134169621,min1_steal1
0.7956544495689056,1,2,0,23,39,0.8037974683544303,254,44b6,1.0,21068,75,78,44b6_267148e4,0.10130684788290643,min1_steal1
0.8796645353144387,1,0,0,13,22,0.8491379310344828,197,44b6,1.0,36103,133,134,44b6_2a2eff9f,-0.3595011265456739,min1_steal1
0.9783765645469731,0,0,1,2,0,0.9904306220095693,207,44b6,0.9907407407407407,8341,26,31,44b6_341df25f,0.12170521785906402,min1_steal1
0.8799110649459461,0,1,1,20,27,0.8819095477386935,351,44b6,0.9921259842519685,18548,62,68,44b6_587a1e22,0.022660859017478083,min1_steal1
0.8681433216526443,1,2,0,25,22,0.8406779661016949,248,44b6,0.9532374100719424,19875,74,75,44b6_5f15d135,-0.3267048341745994,min1_steal1
0.8517096340381699,1,1,0,13,13,0.8,104,44b6,0.9661016949152542,24718,91,93,44b6_706092f0,-0.6463704254771238,min1_steal1
0.9461147401306448,1,0,0,6,8,0.9047619047619048,133,44b6,1.0,8193,28,31,44b6_74d0c52e,-0.4570576540755467,min1_steal1
0.9430659731477722,1,4,0,19,31,0.9070631970260223,488,44b6,1.0,40321,141,150,44b6_7a302da0,-0.39691585150617725,min1_steal1
0.9521677427425689,1,0,0,9,3,0.968421052631579,368,44b6,0.9868421052631579,8844,29,33,44b6_996155de,0.16783309124521326,min1_steal1
0.9375594538527963,1,2,0,12,15,0.8851063829787233,208,44b6,0.9864864864864865,23578,88,88,44b6_9be80b04,-0.5926188295868825,min1_steal1
0.9121444696552988,2,2,0,11,17,0.9075907590759076,275,44b6,0.9966216216216216,21884,73,80,44b6_a21120c2,-0.05017361111111111,min1_steal1
1.0215964830812096,1,0,0,3,0,0.9854368932038835,203,44b6,0.9904306220095693,13990,50,52,44b6_aaf8b0ea,-0.3669396805285307,min1_steal1
0.8148008052103383,2,3,0,36,39,0.7939560439560439,289,44b6,0.972972972972973,34718,126,130,44b6_c50204e0,-0.2625430137219083,min1_steal1
0.8830532679858887,1,0,0,10,13,0.8700564971751412,154,44b6,0.9880952380952381,28193,92,104,44b6_c8e2a523,-0.1493784697079411,min1_steal1
1.0046240873855727,2,0,0,5,5,0.965034965034965,276,44b6,1.0,14198,53,53,44b6_d2f34f90,-0.4102351084157182,min1_steal1
0.8670302506335259,2,6,0,58,77,0.8608247422680413,835,44b6,0.9878587196467992,41615,148,154,44b6_d5e7d891,-0.07208794149125937,min1_steal1
0.8981474662435129,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5512,16,20,44b6_d754aa59,0.0659446915490234,min1_steal1
0.9198450009829151,1,0,0,5,4,0.9296875,119,44b6,0.9841269841269841,15470,50,57,44b6_deabac95,0.10586889699049253,min1_steal1
