adj_edge_jaccard,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,node_recall,num_pred_nodes,safe_divs,stem,total_node_ratio,variant
0.9387466285352789,1,1,0,30,40,0.9138991389913899,743,44b6,0.9923857868020305,42720,78,44b6_12dfb391,-0.27188437414780475,baseline
0.8004136298407477,1,0,0,23,37,0.8089171974522293,254,44b6,1.0,21141,58,44b6_267148e4,0.1051228437009932,baseline
0.9045182139538891,1,2,0,10,19,0.8733624454148472,200,44b6,1.0,36259,106,44b6_2a2eff9f,-0.35673354977202976,baseline
0.9732789661571407,1,0,0,3,0,0.9856459330143541,206,44b6,0.9907407407407407,8369,22,44b6_341df25f,0.12547068316299084,baseline
0.8845922699454155,0,2,1,18,27,0.8869346733668342,353,44b6,0.9921259842519685,18616,49,44b6_587a1e22,0.026410100898715334,baseline
0.8819083371181216,0,0,1,21,22,0.8542372881355932,252,44b6,0.9676258992805755,19957,55,44b6_5f15d135,-0.3239269622954707,baseline
0.866495165380518,1,1,0,12,12,0.813953488372093,105,44b6,0.9661016949152542,24778,27,44b6_706092f0,-0.6455120318177916,baseline
0.9395970125194777,1,0,0,6,9,0.8986486486486487,133,44b6,1.0,8214,23,44b6_74d0c52e,-0.45566600397614315,baseline
0.9500979450658852,1,0,0,18,28,0.914018691588785,489,44b6,1.0,40467,150,44b6_7a302da0,-0.3947321188189895,baseline
0.9596880599630614,0,0,1,7,2,0.9762532981530343,370,44b6,0.9868421052631579,8858,21,44b6_996155de,0.16968176416215502,baseline
0.9719794635391505,1,3,0,8,11,0.9177489177489178,212,44b6,0.9864864864864865,23677,55,44b6_9be80b04,-0.5909083055445168,baseline
0.9213212901439646,1,0,1,10,15,0.9169435215946844,276,44b6,0.9966216216216216,21940,57,44b6_a21120c2,-0.04774305555555555,baseline
1.0214359521605556,1,0,0,3,0,0.9854368932038835,203,44b6,0.9904306220095693,14026,31,44b6_aaf8b0ea,-0.3653106475406127,baseline
0.8101219125474128,2,3,0,36,41,0.7896174863387978,289,44b6,0.972972972972973,34853,130,44b6_c50204e0,-0.2596754322613535,baseline
0.8828511368300762,1,0,0,10,13,0.8700564971751412,154,44b6,0.9880952380952381,28270,46,44b6_c8e2a523,-0.1470552739560705,baseline
1.0008280507922869,2,1,0,5,6,0.9616724738675958,276,44b6,1.0,14272,46,44b6_d2f34f90,-0.4071612528038548,baseline
0.8727710685017234,2,5,0,54,75,0.8667355371900827,839,44b6,0.9911699779249448,41725,154,44b6_d5e7d891,-0.06963521227256511,baseline
0.8979551397016554,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5523,14,44b6_d754aa59,0.06807193966350802,baseline
0.9205160648201609,0,2,1,3,6,0.9307692307692308,121,44b6,0.9920634920634921,15530,48,44b6_deabac95,0.11015798127099864,baseline
0.9720867729865399,2,1,0,19,10,0.9090909090909091,290,44b6,0.9678456591639871,22932,28,44b6_e28840c6,-0.6929545028519402,baseline
0.9831987392686659,0,0,1,11,7,0.980110497237569,887,6bba,0.9935483870967742,5840,6,6bba_062c8d37,-0.03150912106135987,baseline
0.8257195597460747,2,0,0,38,22,0.8365122615803815,307,6bba,0.9303621169916435,24257,24,6bba_07e24132,0.12902024668373283,baseline
0.9978053514685321,1,1,0,4,1,0.9957228400342173,1164,6bba,0.996661101836394,8286,7,6bba_085bf656,-0.020914569301666075,baseline
0.8949060124816142,3,1,1,93,127,0.8898898898898899,1778,6bba,0.9907692307692307,29363,40,6bba_09961292,-0.05636790179001832,baseline
0.7908816937487387,1,0,0,22,25,0.7892376681614349,176,6bba,0.9569377990430622,21999,67,6bba_0e7c0d07,-0.020830551475497398,baseline
0.9176698687310244,3,1,0,57,31,0.9144800777453839,941,6bba,0.971042471042471,8024,9,6bba_12665c0e,-0.03488092374308396,baseline
0.861909652850507,1,0,0,98,111,0.8584010840108401,1267,6bba,0.980528511821975,17177,30,6bba_1d0d8384,-0.04087330392540064,baseline
0.6190465872156012,1,4,0,99,90,0.65,351,6bba,0.8989473684210526,17713,63,6bba_207c6aaf,0.4762063505292108,baseline
0.8981804103755322,3,1,0,59,36,0.8994708994708994,850,6bba,0.957983193277311,9898,15,6bba_20852818,0.014347202295552367,baseline
0.9866875013787677,1,0,1,5,6,0.9903339191564148,1127,6bba,1.0,12390,15,6bba_2312ac41,0.03682008368200837,baseline
0.9061644501926294,1,0,0,44,19,0.8996815286624203,565,6bba,0.9578783151326054,4739,14,6bba_268e1230,-0.07205795966320737,baseline
0.9613501419634344,1,0,0,29,18,0.9513960703205792,920,6bba,0.9939148073022313,4955,3,6bba_2819ca14,-0.10462594868088182,baseline
0.6964718040684819,1,3,0,139,141,0.7058823529411765,672,6bba,0.9234338747099768,43865,106,6bba_32db13fc,0.13331610902984112,baseline
0.9438765507766651,1,2,1,30,46,0.9396346306592533,1183,6bba,1.0,29104,67,6bba_337b1b3a,-0.04514435695538058,baseline
0.7917095223184283,1,4,0,94,124,0.7941454202077431,841,6bba,0.9759277833500501,53662,146,6bba_3abfe10a,0.030673196965331797,baseline
0.9884325130499626,2,0,0,6,4,0.9866666666666667,740,6bba,0.9986928104575163,6146,6,6bba_3c5691b6,-0.017897091722595078,baseline
0.7893286072312461,1,0,0,49,65,0.7884972170686456,425,6bba,0.9760956175298805,22991,45,6bba_3db54e20,-0.01054398347391978,baseline
0.9960119509137377,0,0,1,13,8,0.9823083403538332,1166,6bba,0.9942004971002486,8469,13,6bba_3fda6b25,-0.13950416581995528,baseline
0.77042435769276,1,0,0,45,32,0.7578616352201258,241,6bba,0.9041095890410958,23603,39,6bba_474be664,-0.16576538366380378,baseline
0.9272232406860497,4,0,1,36,29,0.9313621964097148,882,6bba,0.9850267379679144,25030,56,6bba_48816121,0.044439808053411224,baseline
0.9387466285352789,1,1,0,30,40,0.9138991389913899,743,44b6,0.9923857868020305,42720,78,44b6_12dfb391,-0.27188437414780475,logit_gated
0.8004390010021942,1,0,0,23,37,0.8089171974522293,254,44b6,1.0,21135,58,44b6_267148e4,0.10480920020909566,logit_gated
0.9045244116400913,1,2,0,10,19,0.8733624454148472,200,44b6,1.0,36255,106,44b6_2a2eff9f,-0.3568045132790463,logit_gated
0.9732789661571407,1,0,0,3,0,0.9856459330143541,206,44b6,0.9907407407407407,8369,22,44b6_341df25f,0.12547068316299084,logit_gated
0.8823752467124696,0,2,1,18,28,0.8847117794486216,353,44b6,0.9921259842519685,18616,49,44b6_587a1e22,0.026410100898715334,logit_gated
0.8819228063970289,0,0,1,21,22,0.8542372881355932,252,44b6,0.9676258992805755,19952,55,44b6_5f15d135,-0.3240963447271249,logit_gated
0.866495165380518,1,1,0,12,12,0.813953488372093,105,44b6,0.9661016949152542,24778,27,44b6_706092f0,-0.6455120318177916,logit_gated
0.9395970125194777,1,0,0,6,9,0.8986486486486487,133,44b6,1.0,8214,23,44b6_74d0c52e,-0.45566600397614315,logit_gated
0.9538251062148264,0,0,1,17,27,0.9176029962546817,490,44b6,1.0,40466,150,44b6_7a302da0,-0.39474707589218944,logit_gated
0.9596880599630614,0,0,1,7,2,0.9762532981530343,370,44b6,0.9868421052631579,8858,21,44b6_996155de,0.16968176416215502,logit_gated
0.9719794635391505,1,3,0,8,11,0.9177489177489178,212,44b6,0.9864864864864865,23677,55,44b6_9be80b04,-0.5909083055445168,logit_gated
0.9213212901439646,1,0,1,10,15,0.9169435215946844,276,44b6,0.9966216216216216,21940,57,44b6_a21120c2,-0.04774305555555555,logit_gated
1.006631130193848,1,1,0,4,2,0.9711538461538461,202,44b6,0.9904306220095693,14026,31,44b6_aaf8b0ea,-0.3653106475406127,logit_gated
0.8101118490253473,2,3,0,36,41,0.7896174863387978,289,44b6,0.972972972972973,34859,130,44b6_c50204e0,-0.25954798419643993,logit_gated
0.8828511368300762,1,0,0,10,13,0.8700564971751412,154,44b6,0.9880952380952381,28270,46,44b6_c8e2a523,-0.1470552739560705,logit_gated
1.0044141481303728,1,1,1,4,6,0.9651567944250871,277,44b6,1.0,14282,46,44b6_d2f34f90,-0.40674586691035974,logit_gated
0.8727614054672828,2,5,0,54,75,0.8667355371900827,839,44b6,0.9911699779249448,41730,154,44b6_d5e7d891,-0.06952372458080627,logit_gated
0.8979551397016554,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5523,14,44b6_d754aa59,0.06807193966350802,logit_gated
0.9205094112407001,0,2,1,3,6,0.9307692307692308,121,44b6,0.9920634920634921,15531,48,44b6_deabac95,0.11022946600900707,logit_gated
0.9720916418557208,2,1,0,19,10,0.9090909090909091,290,44b6,0.9678456591639871,22928,28,44b6_e28840c6,-0.6930080604129288,logit_gated
0.9831987392686659,0,0,1,11,7,0.980110497237569,887,6bba,0.9935483870967742,5840,6,6bba_062c8d37,-0.03150912106135987,logit_gated
0.8257195597460747,2,0,0,38,22,0.8365122615803815,307,6bba,0.9303621169916435,24257,24,6bba_07e24132,0.12902024668373283,logit_gated
0.9978053514685321,1,1,0,4,1,0.9957228400342173,1164,6bba,0.996661101836394,8286,7,6bba_085bf656,-0.020914569301666075,logit_gated
0.8949060124816142,3,1,1,93,127,0.8898898898898899,1778,6bba,0.9907692307692307,29363,40,6bba_09961292,-0.05636790179001832,logit_gated
0.7918315910955115,1,1,0,21,26,0.7901785714285714,177,6bba,0.9617224880382775,21997,67,6bba_0e7c0d07,-0.020919570926247386,logit_gated
0.9176698687310244,3,1,0,57,31,0.9144800777453839,941,6bba,0.971042471042471,8024,9,6bba_12665c0e,-0.03488092374308396,logit_gated
0.8613260985831742,1,1,0,98,112,0.8578199052132701,1267,6bba,0.980528511821975,17177,30,6bba_1d0d8384,-0.04087330392540064,logit_gated
0.6190736728060672,1,4,0,99,90,0.65,351,6bba,0.8989473684210526,17708,63,6bba_207c6aaf,0.4757896491374281,logit_gated
0.8981804103755322,3,1,0,59,36,0.8994708994708994,850,6bba,0.957983193277311,9898,15,6bba_20852818,0.014347202295552367,logit_gated
0.9866875013787677,1,0,1,5,6,0.9903339191564148,1127,6bba,1.0,12390,15,6bba_2312ac41,0.03682008368200837,logit_gated
0.9061644501926294,1,0,0,44,19,0.8996815286624203,565,6bba,0.9578783151326054,4739,14,6bba_268e1230,-0.07205795966320737,logit_gated
0.9613501419634344,1,0,0,29,18,0.9513960703205792,920,6bba,0.9939148073022313,4955,3,6bba_2819ca14,-0.10462594868088182,logit_gated
0.6964754515680449,1,3,0,139,141,0.7058823529411765,672,6bba,0.9234338747099768,43863,106,6bba_32db13fc,0.13326443611936442,logit_gated
0.9438642196135333,1,2,1,30,46,0.9396346306592533,1183,6bba,1.0,29108,67,6bba_337b1b3a,-0.045013123359580055,logit_gated
0.7924700438977961,1,3,0,94,123,0.7948960302457467,841,6bba,0.9759277833500501,53654,146,6bba_3abfe10a,0.03051954287909344,logit_gated
0.9884325130499626,2,0,0,6,4,0.9866666666666667,740,6bba,0.9986928104575163,6146,6,6bba_3c5691b6,-0.017897091722595078,logit_gated
0.7893286072312461,1,0,0,49,65,0.7884972170686456,425,6bba,0.9760956175298805,22991,45,6bba_3db54e20,-0.01054398347391978,logit_gated
0.9960119509137377,0,0,1,13,8,0.9823083403538332,1166,6bba,0.9942004971002486,8469,13,6bba_3fda6b25,-0.13950416581995528,logit_gated
0.77042435769276,1,0,0,45,32,0.7578616352201258,241,6bba,0.9041095890410958,23603,39,6bba_474be664,-0.16576538366380378,logit_gated
0.9272232406860497,4,0,1,36,29,0.9313621964097148,882,6bba,0.9850267379679144,25030,56,6bba_48816121,0.044439808053411224,logit_gated
0.9437425031974617,1,6,0,26,40,0.9188191881918819,747,44b6,0.9923857868020305,42757,158,44b6_12dfb391,-0.2712537496591219,logit_open
0.792725647693599,1,3,0,23,40,0.8012618296529969,254,44b6,1.0,21168,78,44b6_267148e4,0.10653423941453215,logit_open
0.8883562267112758,1,2,0,11,22,0.8577586206896551,199,44b6,1.0,36260,134,44b6_2a2eff9f,-0.3567158088952756,logit_open
0.9733729731806655,0,1,1,2,1,0.9857142857142858,207,44b6,0.9907407407407407,8367,31,44b6_341df25f,0.1252017213555675,logit_open
0.8845629287752097,0,1,1,18,27,0.8869346733668342,353,44b6,0.9921259842519685,18622,68,44b6_587a1e22,0.0267409163588245,logit_open
0.8759551885945057,0,0,1,21,24,0.8484848484848485,252,44b6,0.9712230215827338,19962,75,44b6_5f15d135,-0.32375757986381654,logit_open
0.8515803027268305,1,1,0,13,13,0.8,104,44b6,0.9661016949152542,24831,93,44b6_706092f0,-0.6447537840853815,logit_open
0.9459348669885449,1,0,0,6,8,0.9047619047619048,133,44b6,1.0,8223,31,44b6_74d0c52e,-0.4550695825049702,logit_open
0.9520491050498155,1,2,0,17,28,0.9158878504672897,490,44b6,1.0,40461,150,44b6_7a302da0,-0.394821861258189,logit_open
0.9594302352441513,0,0,1,7,2,0.9762532981530343,370,44b6,0.9868421052631579,8878,33,44b6_996155de,0.17232272547207184,logit_open
0.9627784313756288,1,1,0,10,11,0.9090909090909091,210,44b6,0.9864864864864865,23697,88,44b6_9be80b04,-0.5905627451319176,logit_open
0.9148604931245402,2,1,0,11,16,0.9105960264900662,275,44b6,0.9966216216216216,21961,80,44b6_a21120c2,-0.04683159722222222,logit_open
1.0213289315467862,1,0,0,3,0,0.9854368932038835,203,44b6,0.9904306220095693,14050,52,44b6_aaf8b0ea,-0.36422462554866736,logit_open
0.8101571348746424,2,3,0,36,41,0.7896174863387978,289,44b6,0.972972972972973,34832,130,44b6_c50204e0,-0.2601215004885509,logit_open
0.8827881349113814,1,0,0,10,13,0.8700564971751412,154,44b6,0.9880952380952381,28294,104,44b6_c8e2a523,-0.14633116099444846,logit_open
1.007938155140531,1,0,1,4,5,0.9685314685314685,277,44b6,1.0,14279,53,44b6_d2f34f90,-0.40687048267840825,logit_open
0.8698929810107727,2,6,0,55,77,0.8639175257731959,838,44b6,0.9911699779249448,41746,154,44b6_d5e7d891,-0.06916696396717803,logit_open
0.8980250766259672,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5519,20,44b6_d754aa59,0.06729839489460453,logit_open
0.9122528165817994,0,0,1,5,5,0.9224806201550387,119,44b6,0.9841269841269841,15540,57,44b6_deabac95,0.110872828651083,logit_open
0.9563034504874487,2,1,0,21,13,0.8944099378881988,288,44b6,0.9710610932475884,23003,86,44b6_e28840c6,-0.6920038561443912,logit_open
0.9820972949820435,1,2,0,11,8,0.9790286975717439,887,6bba,0.9935483870967742,5841,21,6bba_062c8d37,-0.03134328358208955,logit_open
0.825645583795551,2,1,0,38,22,0.8365122615803815,307,6bba,0.9303621169916435,24276,90,6bba_07e24132,0.12990458459390272,logit_open
0.9968584820197723,1,2,0,4,2,0.9948717948717949,1164,6bba,0.996661101836394,8294,30,6bba_085bf656,-0.019969278033794162,logit_open
0.8959761350611353,3,4,1,90,128,0.8909454727363681,1781,6bba,0.9907692307692307,29360,108,6bba_09961292,-0.05646431211235016,logit_open
0.7874733736464273,1,1,0,22,26,0.7857142857142857,176,6bba,0.9569377990430622,21964,80,6bba_0e7c0d07,-0.022388391863622202,logit_open
0.9177311868389032,2,2,1,56,32,0.9145631067961165,942,6bba,0.971042471042471,8026,29,6bba_12665c0e,-0.03464036564830406,logit_open
0.8573335040429797,1,9,0,97,120,0.8538720538720539,1268,6bba,0.980528511821975,17183,63,6bba_1d0d8384,-0.040538276844044895,logit_open
0.6204447464004809,0,2,1,99,89,0.6512059369202227,351,6bba,0.8989473684210526,17667,65,6bba_207c6aaf,0.4723726977248104,logit_open
