adj_edge_jaccard,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,node_recall,num_pred_nodes,reclaimed,safe_divs,stem,total_node_ratio,variant
0.8556318556065117,1,0,0,12,16,0.8444444444444444,152,44b6,0.9821428571428571,28753,0,32,44b6_c8e2a523,-0.13248250060342748,logit_open_min1
0.9926246570171705,2,0,0,6,6,0.9581881533101045,275,44b6,1.0,15422,0,5,44b6_d2f34f90,-0.3593918750519232,logit_open_min1
0.8666751009529128,2,0,0,58,73,0.8643892339544513,835,44b6,0.9922737306843267,43662,0,39,44b6_d5e7d891,-0.026444880485194434,logit_open_min1
0.8969235700680559,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5582,0,15,44b6_d754aa59,0.07948172500483465,logit_open_min1
0.9193250740966804,0,2,1,3,6,0.9307692307692308,121,44b6,0.9920634920634921,15709,0,31,44b6_deabac95,0.12295374937450854,logit_open_min1
0.9825885216655589,2,0,0,17,7,0.9240506329113924,292,44b6,0.9678456591639871,27373,0,3,44b6_e28840c6,-0.6334922207642664,logit_open_min1
0.9851842557125876,0,0,1,10,6,0.9823008849557522,888,6bba,0.9935483870967742,5853,0,16,6bba_062c8d37,-0.02935323383084577,logit_open_min1
0.8105388118978997,2,0,0,39,19,0.8406593406593407,306,6bba,0.9220055710306406,29183,0,39,6bba_07e24132,0.3582964859204096,logit_open_min1
0.9959316017132394,1,1,0,5,2,0.994017094017094,1163,6bba,0.996661101836394,8300,0,15,6bba_085bf656,-0.01926030958289023,logit_open_min1
0.9011359076425858,3,7,1,82,123,0.8971915747241725,1789,6bba,0.9943589743589744,29749,0,82,6bba_09961292,-0.04396310698332102,logit_open_min1
0.7893079256651658,1,0,0,22,25,0.7892376681614349,176,6bba,0.9617224880382775,22447,0,82,6bba_0e7c0d07,-0.0008901945074998888,logit_open_min1
0.9163314937165852,2,1,1,55,34,0.9137596899224806,943,6bba,0.9739382239382239,8080,0,22,6bba_12665c0e,-0.028145297089247054,logit_open_min1
0.8598374320971898,1,4,0,105,105,0.8571428571428571,1260,6bba,0.9728789986091794,17346,0,49,6bba_1d0d8384,-0.03143670780054721,logit_open_min1
0.6409319239111135,0,3,1,94,79,0.6729678638941399,356,6bba,0.8968421052631579,17711,0,65,6bba_207c6aaf,0.4760396699724977,logit_open_min1
0.8780881328141013,3,2,0,73,41,0.88,836,6bba,0.9474789915966386,9970,0,31,6bba_20852818,0.021725763476122158,logit_open_min1
0.9824745839714514,1,3,1,6,10,0.9859894921190894,1126,6bba,1.0,12376,0,25,6bba_2312ac41,0.035648535564853555,logit_open_min1
0.9198011673004717,1,0,0,37,18,0.9122807017543859,572,6bba,0.9672386895475819,4686,0,17,6bba_268e1230,-0.08243587233209321,logit_open_min1
0.9622705384818793,0,2,1,26,20,0.9525283797729618,923,6bba,0.9959432048681541,4968,0,14,6bba_2819ca14,-0.10227683411637152,logit_open_min1
0.6944220438789132,0,4,1,134,149,0.7052083333333333,677,6bba,0.9396751740139211,44625,0,164,6bba_32db13fc,0.15295181501098049,logit_open_min1
0.9370120625979065,1,3,1,32,52,0.9335968379446641,1181,6bba,1.0,29365,0,105,6bba_337b1b3a,-0.03658136482939633,logit_open_min1
0.7936318454972682,0,5,1,89,126,0.7973609802073516,846,6bba,0.9759277833500501,54500,0,199,6bba_3abfe10a,0.046768462498799575,logit_open_min1
0.982751427442462,1,1,1,6,7,0.9827357237715804,740,6bba,0.9986928104575163,6257,0,12,6bba_3c5691b6,-0.00015979546180888463,logit_open_min1
0.7744275170415674,1,0,0,54,68,0.7749077490774908,420,6bba,0.9721115537848606,23380,0,85,6bba_3db54e20,0.006197280082630401,logit_open_min1
0.9954525403819371,0,3,1,13,10,0.9806560134566863,1166,6bba,0.9942004971002486,8357,0,28,6bba_3fda6b25,-0.15088396667344037,logit_open_min1
0.7314329374320656,1,1,0,50,38,0.7283950617283951,236,6bba,0.9006849315068494,27113,0,73,6bba_474be664,-0.04170642915208709,logit_open_min1
0.9307307465792677,3,2,2,31,30,0.9356540084388185,887,6bba,0.9893048128342246,25226,0,80,6bba_48816121,0.052618401836010846,logit_open_min1
0.9435796643093203,1,0,0,28,35,0.9220297029702971,745,44b6,0.9923857868020305,44959,0,18,44b6_12dfb391,-0.23372307062994274,logit_open_min2
0.8002157349527601,1,1,0,24,34,0.8135048231511254,253,44b6,0.9892857142857143,22255,0,17,44b6_267148e4,0.1633559853633037,logit_open_min2
0.8895658776469834,1,0,0,12,19,0.8646288209606987,198,44b6,1.0,40110,0,15,44b6_2a2eff9f,-0.28841343339187825,logit_open_min2
0.9774042483096587,0,0,1,2,0,0.9904306220095693,207,44b6,0.9907407407407407,8414,0,10,44b6_341df25f,0.13152232383001614,logit_open_min2
0.9049386022259154,0,1,1,15,21,0.9081632653061225,356,44b6,0.9921259842519685,18781,0,27,44b6_587a1e22,0.03550752605171748,logit_open_min2
